日期,美元／新台幣(匯率),人民幣／新台幣(匯率),歐元／美元(匯率),美元／日幣(匯率),英鎊／美元(匯率),澳幣／美元(匯率),美元／港幣(匯率),美元／人民幣(匯率),美元／南非幣(匯率),紐幣／美元(匯率)
20230801,31.518,4.394113,1.09855,142.685,1.28235,0.6643,7.79395,7.1728,17.9627,0.6169
20230802,31.625,4.396761,1.0984,142.495,1.27925,0.658,7.7994,7.1928,18.4012,0.61055
20230804,31.691,4.409359,1.0949,142.645,1.27055,0.6564,7.8085,7.1872,18.6737,0.60915
20230807,31.67,4.397221,1.0984,142.205,1.27325,0.65725,7.80635,7.20225,18.61225,0.6099
20230808,31.81,4.40209,1.0977,143.055,1.2746,0.652,7.8088,7.2261,18.79645,0.6056
20230809,31.75,4.402519,1.0984,143.255,1.2759,0.6562,7.8179,7.2118,18.8786,0.6081
20230810,31.762,4.39964,1.1014,143.815,1.27575,0.65525,7.8163,7.21925,18.83375,0.60685
20230811,31.798,4.387488,1.0996,144.575,1.2712,0.6527,7.8136,7.24745,18.86665,0.6014
20230814,31.924,4.391402,1.0952,144.825,1.2692,0.6492,7.81615,7.26965,18.9622,0.5988
20230815,31.935,4.368325,1.0922,145.775,1.2694,0.647,7.8215,7.3106,19.2429,0.59585
20230816,31.895,4.362917,1.0927,145.475,1.27455,0.6475,7.82675,7.31045,19.0275,0.5985
20230817,31.974,4.359399,1.0881,146.205,1.274,0.6404,7.8281,7.3345,19.11895,0.59315
20230818,31.942,4.371327,1.0873,145.345,1.272,0.64055,7.82885,7.30715,19.05685,0.5934
20230821,31.965,4.36514,1.0886,145.545,1.2729,0.6399,7.83595,7.3228,19.0465,0.59125
20230822,31.938,4.376911,1.0918,145.685,1.2789,0.6438,7.8367,7.2969,18.81395,0.5959
20230823,31.926,4.374373,1.0828,145.335,1.2733,0.64345,7.84025,7.2984,18.63895,0.59505
20230824,31.795,4.366153,1.0858,145.305,1.2704,0.646,7.84205,7.28215,18.61925,0.59515
20230825,31.85,4.367336,1.07785,146.035,1.25855,0.6422,7.84275,7.2928,18.69455,0.59085
20230828,31.874,4.365718,1.08055,146.555,1.2575,0.6406,7.84615,7.301,18.72005,0.5896
20230829,31.884,4.369575,1.0813,146.445,1.2611,0.6438,7.8457,7.2968,18.48045,0.5922
20230830,31.856,4.361851,1.0858,146.495,1.26275,0.6456,7.84635,7.3033,18.57015,0.5942
20230831,31.854,4.364253,1.0888,145.815,1.2704,0.6476,7.8442,7.29885,18.6807,0.5957
20230901,31.861,4.384297,1.0854,145.44,1.2682,0.6477,7.84385,7.26705,18.7596,0.5965
20230904,31.88,4.383755,1.0798,146.395,1.2629,0.64665,7.83395,7.2723,18.814,0.59465
20230905,31.895,4.364799,1.0753,146.865,1.2547,0.6375,7.83675,7.3073,19.2328,0.5879
20230906,31.967,4.369921,1.0734,147.475,1.25585,0.6383,7.84285,7.31525,19.27775,0.588
20230907,31.995,4.36239,1.07085,147.49,1.24605,0.6381,7.83905,7.3343,19.22835,0.5882
